,Latitude,Longitude,Magnitude,Root Mean Square,Status
0,19.246,145.616,6.0,,Automatic
1,1.863,127.352,5.800000000000001,,Automatic
2,-20.579,-173.972,6.199999999999999,,Automatic
3,-59.076,-23.557,5.800000000000001,,Automatic
4,11.938,126.427,5.800000000000001,,Automatic
5,-13.405,166.629,6.699999999999999,,Automatic
6,27.357,87.867,5.9,,Automatic
7,-13.309,166.212,6.0,,Automatic
8,-56.452,-27.043,6.0,,Automatic
9,-24.563,178.487,5.800000000000001,,Automatic
10,-6.807,108.988,5.9,,Automatic
11,-2.608,125.952,8.2,,Automatic
12,54.636,161.703,5.5,,Automatic
13,-18.697,-177.864,5.6,,Automatic
14,37.523,73.251,6.0,,Automatic
15,-51.84,139.741,6.100000000000001,,Automatic
16,51.251,178.715,8.7,,Automatic
17,51.639,175.055,6.0,,Automatic
18,52.528,172.007,5.699999999999999,,Automatic
19,51.626,175.746,5.800000000000001,,Automatic
20,51.037,177.848,5.9,,Automatic
21,51.73,173.975,5.9,,Automatic
22,51.775,173.058,5.699999999999999,,Automatic
23,52.611,172.588,5.699999999999999,,Automatic
24,51.831,174.368,5.699999999999999,,Automatic
25,51.948,173.969,5.6,,Automatic
26,51.443,179.605,7.300000000000001,,Automatic
27,52.773,171.974,6.5,,Automatic
28,51.772,174.696,5.6,,Automatic
29,52.975,171.091,6.399999999999999,,Automatic
30,52.99,170.874,5.800000000000001,,Automatic
31,51.536,175.045,5.800000000000001,,Automatic
32,13.245,-44.922,5.800000000000001,,Automatic
33,51.812,174.206,5.699999999999999,,Automatic
34,51.762,174.841,5.699999999999999,,Automatic
35,52.438,174.321,6.300000000000001,,Automatic
36,51.946,173.84,5.699999999999999,,Automatic
37,51.738,174.566,6.0,,Automatic
38,51.487,176.558,5.6,,Automatic
39,53.008,-162.008,6.399999999999999,,Automatic
40,52.184,175.505,6.199999999999999,,Automatic
41,52.076,172.918,5.6,,Automatic
42,51.744,175.213,5.699999999999999,,Automatic
43,52.057,174.116,5.699999999999999,,Automatic
44,53.191,-161.859,6.300000000000001,,Automatic
45,51.447,176.469,5.800000000000001,,Automatic
46,51.258,173.393,5.699999999999999,,Automatic
47,52.031,175.411,5.699999999999999,,Automatic
48,51.294,179.092,5.800000000000001,,Automatic
49,55.223,165.426,5.9,,Automatic
50,-18.718,169.386,5.6,,Automatic
51,52.815,171.904,6.0,,Automatic
52,52.188,172.752,5.800000000000001,,Automatic
53,51.009,179.325,5.800000000000001,,Automatic
54,3.026,125.951,5.9,,Automatic
55,38.908,142.095,5.699999999999999,,Automatic
56,51.694,176.446,5.699999999999999,,Automatic
57,21.527,143.081,5.6,,Automatic
58,25.011,94.186,5.6,,Automatic
59,-7.251,126.715,5.9,,Automatic
60,51.415,179.358,5.800000000000001,,Automatic
61,-15.343,-172.889,5.800000000000001,,Automatic
62,-25.633,-70.679,7.0,,Automatic
63,-5.461,151.98,6.199999999999999,,Automatic
64,51.884,173.072,6.199999999999999,,Automatic
65,6.746,-72.971,5.6,,Automatic
66,28.133,-112.208,6.0,,Automatic
67,-5.377,152.115,5.9,,Automatic
68,21.104,121.218,5.699999999999999,,Automatic
69,-5.371,152.055,5.5,,Automatic
70,21.122,121.148,5.6,,Automatic
71,52.204,173.911,5.699999999999999,,Automatic
72,15.404,-92.623,5.6,,Automatic
73,38.399,28.226,5.800000000000001,,Automatic
74,-27.145,-177.262,5.6,,Automatic
75,-5.514,151.819,6.699999999999999,,Automatic
76,53.046,171.308,6.300000000000001,,Automatic
77,-5.487,146.993,5.699999999999999,,Automatic
78,50.928,179.511,5.5,,Automatic
79,52.39,174.937,5.6,,Automatic
80,-27.027,-63.214,5.800000000000001,,Automatic
81,52.416,174.239,5.6,,Automatic
82,-18.425,-132.923,5.6,,Automatic
83,20.13,121.461,5.800000000000001,,Automatic
84,-29.998,-177.968,6.0,,Automatic
85,39.197,23.86,6.100000000000001,,Automatic
86,53.292,-162.331,5.699999999999999,,Automatic
87,36.405,70.724,7.399999999999999,,Automatic
88,22.635,121.117,5.800000000000001,,Automatic
89,40.697,143.032,6.399999999999999,,Automatic
90,52.785,171.821,6.0,,Automatic
91,-20.036,-175.89,6.300000000000001,,Automatic
92,-55.857,-26.758,5.699999999999999,,Automatic
93,-1.887,119.836,6.0,,Automatic
94,-1.547,126.623,6.300000000000001,,Automatic
95,-15.262,-173.254,6.5,,Automatic
96,-31.974,-71.573,6.199999999999999,,Automatic
97,-15.382,-173.194,6.199999999999999,,Automatic
98,8.418,126.553,5.699999999999999,,Automatic
99,55.26,161.904,5.800000000000001,,Automatic
100,-32.522,-71.233,7.399999999999999,,Automatic
101,40.687,142.915,6.399999999999999,,Automatic
102,-20.502,-173.701,5.9,,Automatic
